votes,party,female,black,inc,redist,east,midwest,south,west
21,1,0,0,6.0029998,57.700001,0,0,1,0
54.5,1,0,0,5.5900002,57.700001,0,0,1,0
54.5,1,0,0,6.3460002,57.599998,0,0,1,0
9.5,0,0,0,7.829,56.200001,0,0,1,0
27.5,0,0,0,4.4920001,59.299999,0,0,1,0
61,1,0,0,5.1209998,60.200001,0,0,1,0
9,0,0,0,6.664,53.599998,0,0,1,0
57,1,1,0,6.5739999,53.5,0,0,1,0
6.5,0,0,0,7.4590001,52.700001,0,0,1,0
18.5,1,0,0,5.2849998,53.799999,0,0,1,0
4.5,0,0,0,6.6830001,53.900002,0,0,1,0
9.5,1,0,0,6.757,53.099998,0,0,1,0
64.5,1,0,0,5.4499998,54.200001,0,0,1,0
28,0,1,0,6.198,58.900002,1,0,0,0
8.5,0,0,0,6.994,59.900002,1,0,0,0
51.5,1,0,0,9.2959995,60.200001,1,0,0,0
89,1,1,0,6.9169998,60.200001,1,0,0,0
10,0,1,0,8.5769997,58.599998,1,0,0,0
83,1,1,0,8.4630003,57.599998,1,0,0,0
25.5,1,0,0,7.7290001,58.099998,1,0,0,0
91,1,0,1,5.059,63.700001,1,0,0,0
89.5,0,0,0,12.554,60.099998,1,0,0,0
62,0,0,0,6.7030001,58.099998,1,0,0,0
67.5,1,0,0,6.6869998,57.799999,1,0,0,0
73.5,1,0,0,7.1820002,57.200001,1,0,0,0
94.5,1,0,0,9.3990002,57.900002,1,0,0,0
91.5,1,0,0,7.6669998,57.5,1,0,0,0
85.5,1,0,0,7.3740001,57.400002,1,0,0,0
66.5,0,1,0,7.1950002,58.5,1,0,0,0
94,1,0,0,7.1950002,59.299999,1,0,0,0
67,1,0,1,6.1409998,73.5,0,1,0,0
64.5,0,0,0,8.7860003,63.700001,0,1,0,0
33,0,0,0,7.5949998,62.099998,0,1,0,0
20,0,0,0,6.5630002,65.199997,0,1,0,0
23,0,0,0,7.355,61.200001,0,1,0,0
77,1,0,0,7.5289998,63,0,1,0,0
86.5,1,0,0,7.8889999,70.599998,0,1,0,0
62.5,1,0,0,6.9809999,69.099998,0,1,0,0
15.5,0,0,0,6.5440001,63.299999,0,1,0,0
15,0,0,0,6.2979999,65.800003,0,1,0,0
89.5,1,0,0,8.2519999,67.300003,0,1,0,0
75,1,0,1,4.9910002,78.599998,0,1,0,0
63.5,1,0,0,8.5019999,68.800003,0,1,0,0
73,1,0,0,8.2639999,69.099998,0,1,0,0
62.5,1,0,0,8.3330002,69.199997,0,1,0,0
89,1,0,0,9.1920004,67.099998,0,1,0,0
75,1,0,0,9.3879995,63.700001,0,1,0,0
17,0,0,0,10.685,66.599998,0,1,0,0
6.5,0,0,0,7.585,58.099998,0,1,0,0
35.5,0,0,0,10.292,58.400002,0,1,0,0
79,1,0,0,8.3009996,57.599998,0,1,0,0
88,1,0,0,6.2329998,57.599998,0,1,0,0
7,0,0,0,5.467,61.5,0,1,0,0
81.5,1,0,0,6.8270001,62.5,0,1,0,0
32.5,1,0,0,4.908,53.700001,0,0,1,0
13.5,1,0,0,4.5510001,53.099998,0,0,1,0
10,1,0,0,4.9359999,52.299999,0,0,1,0
8.5,0,0,0,5.573,54.799999,0,0,1,0
86.5,1,0,1,6.178,63.799999,0,0,1,0
38.5,1,0,0,9.7659998,60.700001,0,0,1,0
43.5,1,0,0,7.579,59.200001,0,0,1,0
26,1,0,0,6.9510002,58.299999,0,0,1,0
78,1,0,0,7.3249998,59.099998,0,0,1,0
13.5,0,0,0,6.9549999,58.400002,0,0,1,0
7,0,0,0,5.8559999,58.900002,0,0,1,0
14,1,0,0,6.355,59.400002,0,0,1,0
45.5,1,0,0,7.098,60.099998,0,0,1,0
61.5,1,0,0,5.6100001,62.200001,0,0,1,0
20,0,0,0,6.677,47.799999,0,0,0,1
66.5,1,0,0,7.5710001,57.900002,0,1,0,0
16,0,1,0,6.4299998,53.900002,0,1,0,0
20,1,0,0,8.4530001,49.200001,1,0,0,0
51.5,1,0,0,6.954,57.599998,1,0,0,0
15,0,0,0,6.9780002,57.200001,1,0,0,0
66.5,1,0,0,6.6750002,61.900002,0,0,0,1
60,1,0,0,6.7600002,62.900002,0,0,0,1
75.5,1,0,0,8.4209995,61.299999,0,0,0,1
85.5,1,0,0,7.5770001,59.700001,0,0,0,1
61,0,1,0,11.078,59.700001,0,0,0,1
35,0,0,0,8.0459995,61.099998,0,0,0,1
89,1,0,0,10.43,60.200001,0,0,0,1
58,1,0,0,7.1329999,60.5,0,0,0,1
64,0,0,0,9.4029999,60.700001,0,0,0,1
67.5,1,0,0,5.0489998,63.299999,0,0,0,1
57,1,0,0,9.1949997,59.900002,0,0,0,1
58.5,0,0,0,9.1630001,60.099998,0,0,0,1
81.5,1,1,0,8.592,59,0,0,0,1
69,1,0,0,8.25,59.599998,0,0,0,1
9.5,0,0,0,6.618,48.400002,0,0,0,1
6,1,0,0,5.5999999,47.200001,0,0,0,1
76.5,1,0,0,7.165,59.599998,1,0,0,0
42.5,1,0,0,9.5640001,59.900002,1,0,0,0
22.5,0,0,0,9.2329998,59.299999,1,0,0,0
21,0,0,0,9.3330002,59.200001,1,0,0,0
68.5,1,0,0,10.865,60,1,0,0,0
79,1,0,0,7.3099999,58.700001,1,0,0,0
91,1,0,0,8.026,58.599998,1,0,0,0
57.5,1,0,0,6.0560002,58.799999,1,0,0,0
79,1,0,0,6.2220001,58.900002,1,0,0,0
96.5,1,1,1,3.6900001,63.5,1,0,0,0
83.5,1,0,0,6.382,59.799999,1,0,0,0
95,1,0,0,5.1880002,61.799999,1,0,0,0
49.5,1,0,0,6.5710001,59.299999,1,0,0,0
96.5,1,1,0,6.2839999,59.299999,1,0,0,0
52.5,1,0,0,7.5040002,58.400002,1,0,0,0
73,0,0,0,17.992001,68.599998,1,0,0,0
86,1,0,1,7.1669998,62,1,0,0,0
96,1,0,0,7.961,61.099998,1,0,0,0
87,1,0,1,3.3789999,64.099998,1,0,0,0
88,1,0,0,5.1040001,60.299999,1,0,0,0
88,1,0,0,10.916,59.700001,1,0,0,0
36,0,0,0,8.1470003,59.5,1,0,0,0
58.5,0,0,0,7.6020002,59,1,0,0,0
80,1,0,0,6.4710002,59,1,0,0,0
35.5,1,0,0,7.507,58.599998,1,0,0,0
75,1,0,0,6.3699999,61.099998,1,0,0,0
21.5,0,0,0,5.5250001,65.400002,1,0,0,0
27.5,0,0,0,5.96,61.599998,1,0,0,0
54,1,0,0,6.7480001,59.900002,1,0,0,0
61,0,0,0,8.4359999,60.299999,1,0,0,0
37,0,0,0,7.2649999,59.700001,1,0,0,0
51.5,1,0,0,7.1760001,62.700001,1,0,0,0
