country,year,enep,enpp,eneth,enrelig,plargest,pop,relhomo,medmag,upper,magmedl,enlang,pres,upp,enpres,elapsed,lml,proximty,enpvuppr,enpvlml,lmleneth,proxpres,smd
VENEZUELA,1983,2.9698,2.4224,1.9864,1.041,69,18760,.83,6,1,11,1.09,2.1,.09,,,2.397895272798371,1,.267282,7.121269381156602,4.763179169886683,1,0
DENMARK,1984,5.2453,5.0383,1.0201999592,1.0622,99,5140,.83,9,0,11,1.05,0,0,,,2.397895272798371,0,0,12.57768007440929,2.44633265947477,0,0
SWITZERLAND,1983,5.9895,5.2625,2.134,2.1221,65,6626,.43,6,0,12,2.13,0,0,,,2.484906649788,0,0,14.88334837890523,5.302790790647593,0,0
SWEDEN,1985,3.5226,3.3918,1.26,1.1398,95,8415,.84,11,0,12,1.2,0,0,,,2.484906649788,0,0,8.75333216454321,3.130982378732881,0,0
CYPRUS,1985,3.6169,3.5716,1.5567,1.5567,81,720,.62,8,0,12,1.72,0,0,,,2.484906649788,0,0,8.987658861618218,3.86825418172498,0,0
LIECHTENSTEIN,1986,2.2819,1.9913,1.105,1.4298,95,27.8,.78,12.5,0,15,1.18,0,0,,,2.70805020110221,0,0,6.179499753895133,2.992395472217942,0,0
PORTUGAL,1983,3.734,3.409,1.0201999592,1.0622,99,10350,.9,7,0,16,1.02,1.2,0,1.958,.476,2.772588722239781,.05,0,10.35284628884334,2.828594901307405,.0979,0
FINLAND,1983,5.4457,5.1401,1.127141569,1.2394,94,4950,.8100000000000001,13,0,17,1.14,1.1,0,3.792,.195,2.833213344056216,.61,0,15.42882990772694,3.19343253393126,2.31312,0
BOLIVIA,1985,4.5787,4.3167,3.7736,1.105,45,6990,.89,13,0,17.5,4.35,3.1,0,4.5787,0,2.862200880929469,1,0,13.10515917351176,10.80080124427544,4.5787,0
LUXEMBOURG,1984,3.559,3.2222,1.6254876463,1.0618,74,372,.87,15,0,21,1.96,0,0,,,3.044522437723423,0,0,10.83545535585766,4.948833611402585,0,0
ITALY,1983,4.5133,4.1139,1.0407993339,1,98,57400,.71,17,1,24,1.16,0,.11428,,,3.178053830347946,0,.5157799240000001,14.34351035250938,3.307716309724485,0,0
CZECHREPUBLIC,1990,3.1031,2.0357,1.1208,3.0026,94,10362,.48,23.5,1,24,,0,.0495,,,3.178053830347946,0,.15360345,9.86181884095271,3.561962733053978,0,0
AUSTRIA,1986,2.7166,2.6333,1.0121,1.362,96,7570,.72,13,1,30,1.02,1.2,.11475,2.272,.101,3.401197381662155,.8,.31172985,9.239692807023411,3.442351869980267,1.8176,0
BRAZIL,1990,9.68,8.69,2.2195,1.22,55,144120,.78,11,0,30,1.05,1.2,0,5.689,.184,3.401197381662155,.63,0,32.92359065448967,7.548957588599154,3.58407,0
ISRAEL,1984,4.2783,3.8609,1.3931,1.4147,83,4520,.6899999999999999,120,0,120,1.96,0,0,,,4.787491742782046,0,0,20.48232592314443,6.669454746869668,0,0
NETHERLANDS,1986,3.7656,3.4877,1.0832,3.1949,36,14750,.29,150,0,150,1.14,0,0,,,5.010635294096256,0,0,18.86804826344886,5.427520150565064,0,0
